chapter,entity_type,count
1,DATE,1
1,LOCATION,4
1,PERSON,31
2,LOCATION,2
2,ORGANIZATION,2
2,PERSON,5
3,ORGANIZATION,1
3,PERSON,11
3,TIME,1
4,LAW,1
4,LOCATION,5
4,ORGANIZATION,2
4,PERSON,28
5,LOCATION,2
5,MONEY,12
5,ORGANIZATION,1
5,PERSON,36
6,DATE,3
6,LOCATION,2
6,ORGANIZATION,1
6,PERSON,32
7,LOCATION,4
7,PERSON,20
8,LOCATION,4
8,PERSON,27
9,LOCATION,7
9,ORGANIZATION,1
9,PERSON,15
9,TIME,1
10,ORGANIZATION,1
10,PERSON,30
11,PERSON,21
12,LOCATION,1
12,ORGANIZATION,1
12,PERSON,18
13,LOCATION,2
13,PERSON,28
14,LAW,1
14,LOCATION,2
14,ORGANIZATION,1
14,PERSON,23
15,LOCATION,4
15,ORGANIZATION,1
15,PERSON,41
16,LOCATION,5
16,ORGANIZATION,1
16,PERSON,13
17,LAW,1
17,ORGANIZATION,1
17,PERSON,12
18,LOCATION,2
18,ORGANIZATION,3
18,PERSON,17
19,LAW,1
19,LOCATION,1
19,ORGANIZATION,1
19,PERSON,10
20,LAW,1
20,LOCATION,2
20,PERSON,57
21,LOCATION,10
21,ORGANIZATION,1
21,PERSON,19
22,LOCATION,2
22,ORGANIZATION,2
22,PERSON,14
23,ORGANIZATION,3
23,PERSON,16
24,ORGANIZATION,1
24,PERSON,9
25,LOCATION,1
25,ORGANIZATION,1
25,PERSON,46
26,LAW,1
26,LOCATION,4
26,PERSON,33
27,LOCATION,2
27,PERSON,27
28,MONEY,1
28,ORGANIZATION,3
28,PERSON,27
29,MONEY,1
29,ORGANIZATION,1
29,PERSON,19
30,DATE,2
30,LOCATION,1
30,PERSON,25
31,LOCATION,1
31,PERSON,32
32,LOCATION,2
32,ORGANIZATION,1
32,PERSON,5
33,LOCATION,1
33,PERSON,15
34,LOCATION,1
34,ORGANIZATION,1
34,PERSON,26
35,LOCATION,1
35,ORGANIZATION,1
35,PERSON,21
36,LAW,1
36,LOCATION,2
36,PERSON,12
37,PERSON,12
38,LAW,1
38,LOCATION,2
38,ORGANIZATION,1
38,PERSON,16
39,LOCATION,1
39,PERSON,10
40,PERSON,9
41,LAW,1
41,LOCATION,3
41,MONEY,4
41,PERSON,27
41,TIME,1
42,PERSON,29
43,LOCATION,1
43,PERSON,17
44,LOCATION,1
44,MONEY,1
44,ORGANIZATION,1
44,PERSON,18
45,LOCATION,2
45,ORGANIZATION,3
45,PERSON,15
46,LOCATION,6
46,MONEY,1
46,PERSON,16
47,LAW,1
47,LOCATION,2
47,PERSON,9
48,LOCATION,2
48,PERSON,45
49,LOCATION,2
49,ORGANIZATION,1
49,PERSON,27
50,PERSON,27
51,ORGANIZATION,1
51,PERSON,24
52,DATE,1
52,PERSON,23
52,TIME,1
53,LAW,2
53,LOCATION,3
53,ORGANIZATION,3
53,PERSON,21
54,ORGANIZATION,2
54,PERSON,12
55,PERSON,6
56,PERSON,18
57,LAW,1
57,PERSON,14
58,LAW,1
58,PERSON,4
59,LOCATION,1
59,MONEY,2
59,ORGANIZATION,1
59,PERSON,4
60,LOCATION,4
60,ORGANIZATION,4
60,PERSON,21
60,TIME,1
61,LOCATION,4
61,PERSON,11
62,LOCATION,5
62,ORGANIZATION,2
62,PERSON,21
63,DATE,1
63,ORGANIZATION,2
63,PERSON,21
64,ORGANIZATION,1
64,PERSON,26
65,DATE,2
65,LOCATION,1
65,ORGANIZATION,3
65,PERSON,10
66,LAW,2
66,ORGANIZATION,1
66,PERSON,11
67,LOCATION,2
67,PERSON,10
68,PERSON,38
69,ORGANIZATION,1
69,PERSON,17
70,LOCATION,1
70,MONEY,1
70,PERSON,13
71,LAW,2
71,ORGANIZATION,1
71,PERSON,19
72,LOCATION,1
72,ORGANIZATION,2
72,PERSON,31
73,LOCATION,7
73,ORGANIZATION,1
73,PERSON,17
74,LOCATION,2
74,ORGANIZATION,3
74,PERSON,17
75,PERSON,7
76,DATE,3
76,ORGANIZATION,2
76,PERSON,12
77,LOCATION,4
77,PERSON,12
78,LOCATION,3
78,PERSON,27
79,ORGANIZATION,1
79,PERSON,14
80,DATE,1
80,LOCATION,2
80,PERSON,26
81,DATE,1
81,LOCATION,3
81,PERSON,7
82,LOCATION,7
82,ORGANIZATION,5
82,PERSON,15
83,LOCATION,3
83,ORGANIZATION,1
83,PERSON,9
83,TIME,1
84,PERSON,21
85,LOCATION,2
85,PERSON,30
86,PERSON,14
87,LOCATION,1
87,PERSON,17
88,PERSON,19
89,LOCATION,2
89,PERSON,14
90,LOCATION,1
90,ORGANIZATION,1
90,PERSON,10
91,ORGANIZATION,1
91,PERSON,26
92,LOCATION,1
92,MONEY,1
92,PERSON,11
93,LOCATION,2
93,ORGANIZATION,2
93,PERSON,2
94,LOCATION,1
94,ORGANIZATION,2
94,PERSON,21
95,LOCATION,1
95,PERSON,8
96,DATE,1
96,LOCATION,2
96,PERSON,29
97,PERSON,7
98,LOCATION,1
98,PERSON,11
99,LOCATION,4
99,ORGANIZATION,2
99,PERSON,34
100,ORGANIZATION,2
100,PERSON,25
101,PERSON,4
102,LOCATION,9
102,ORGANIZATION,1
102,PERSON,46
103,LOCATION,1
103,ORGANIZATION,1
103,PERSON,18
104,LOCATION,2
104,PERSON,31
105,LOCATION,1
105,PERSON,8
106,ORGANIZATION,1
106,PERSON,6
107,LOCATION,1
107,PERSON,7
108,LAW,1
108,PERSON,5
109,LOCATION,1
109,ORGANIZATION,1
109,PERSON,38
110,LOCATION,5
110,PERSON,17
111,LOCATION,1
111,ORGANIZATION,1
111,PERSON,16
112,PERSON,10
113,LOCATION,5
113,PERSON,12
114,LOCATION,1
114,MONEY,1
114,ORGANIZATION,1
114,PERSON,15
115,PERSON,3
116,LOCATION,1
116,ORGANIZATION,1
116,PERSON,5
117,PERSON,16
118,LOCATION,2
118,ORGANIZATION,1
118,PERSON,24
119,LOCATION,1
119,ORGANIZATION,1
119,PERSON,21
120,ORGANIZATION,1
120,PERSON,14
121,DATE,1
121,LAW,1
121,LOCATION,1
121,PERSON,7
122,PERSON,13
123,LOCATION,2
123,PERSON,26
124,LOCATION,3
124,ORGANIZATION,4
124,PERSON,11
125,LOCATION,2
125,PERSON,2
126,LAW,1
126,LOCATION,3
126,PERSON,14
127,PERSON,10
128,LOCATION,1
128,PERSON,20
129,LOCATION,3
129,ORGANIZATION,1
129,PERSON,22
130,LOCATION,2
130,ORGANIZATION,1
130,PERSON,21
131,ORGANIZATION,2
131,PERSON,14
132,LOCATION,2
132,PERSON,11
133,PERSON,13
134,LOCATION,2
134,ORGANIZATION,3
134,PERSON,11
135,LOCATION,1
135,PERSON,10
136,DATE,1
136,PERSON,10
137,PERSON,9
138,LOCATION,1
138,PERSON,13
138,TIME,2
139,LOCATION,2
139,PERSON,17
139,TIME,3
140,LOCATION,5
140,ORGANIZATION,1
140,PERSON,28
141,LAW,3
141,LOCATION,13
141,ORGANIZATION,2
141,PERSON,26
141,TIME,1
142,LOCATION,1
142,PERSON,11
143,LAW,1
143,LOCATION,2
143,ORGANIZATION,1
143,PERSON,6
144,LOCATION,3
144,PERSON,8
145,LAW,3
145,PERSON,20
146,LOCATION,1
146,ORGANIZATION,1
146,PERSON,10
147,PERSON,3
148,LAW,1
148,LOCATION,2
148,ORGANIZATION,6
148,PERSON,19
149,LOCATION,3
149,ORGANIZATION,3
149,PERSON,17
150,LOCATION,1
150,PERSON,20
151,PERSON,10
152,PERSON,3
153,LOCATION,1
153,PERSON,12
155,PERSON,5
156,LOCATION,4
156,ORGANIZATION,2
156,PERSON,23
157,LOCATION,2
157,ORGANIZATION,1
157,PERSON,12
158,LOCATION,1
158,PERSON,7
159,PERSON,26
160,LOCATION,3
160,PERSON,24
161,PERSON,34
162,LAW,1
162,ORGANIZATION,1
162,PERSON,16
163,PERSON,12
164,LOCATION,1
164,PERSON,9
165,PERSON,7
166,LOCATION,3
166,PERSON,27
167,ORGANIZATION,2
167,PERSON,23
168,PERSON,6
169,LOCATION,3
169,ORGANIZATION,2
169,PERSON,13
170,PERSON,17
171,LOCATION,1
171,PERSON,4
172,LAW,1
172,LOCATION,3
172,PERSON,12
173,LAW,1
173,LOCATION,1
173,ORGANIZATION,1
173,PERSON,23
174,LAW,2
174,LOCATION,6
174,ORGANIZATION,4
174,PERSON,6
175,LOCATION,3
175,PERSON,3
176,LOCATION,1
176,PERSON,4
177,LAW,3
177,LOCATION,2
177,PERSON,5
178,LOCATION,3
178,ORGANIZATION,1
178,PERSON,17
179,PERSON,5
180,LAW,1
180,LOCATION,5
180,ORGANIZATION,1
180,PERSON,10
180,TIME,1
181,ORGANIZATION,1
181,PERSON,11
182,PERSON,4
183,LAW,2
183,LOCATION,7
183,PERSON,14
184,LAW,1
184,LOCATION,4
184,PERSON,4
184,TIME,1
185,DATE,2
185,LOCATION,4
185,PERSON,11
186,LAW,3
186,LOCATION,3
186,PERSON,32
186,TIME,1
187,LAW,2
187,LOCATION,4
187,ORGANIZATION,4
187,PERSON,28
188,LOCATION,3
188,PERSON,4
189,LAW,1
189,LOCATION,2
189,PERSON,12
190,ORGANIZATION,1
191,LOCATION,4
191,PERSON,19
192,LAW,1
192,LOCATION,4
192,ORGANIZATION,3
192,PERSON,10
193,LOCATION,1
193,ORGANIZATION,2
193,PERSON,11
194,LOCATION,1
194,PERSON,4
195,LAW,3
195,LOCATION,1
195,ORGANIZATION,1
195,PERSON,8
195,TIME,1
196,DATE,4
196,LAW,2
196,LOCATION,4
196,PERSON,2
197,LOCATION,2
197,ORGANIZATION,1
197,PERSON,17
198,LOCATION,3
198,PERSON,10
199,LOCATION,2
199,ORGANIZATION,1
199,PERSON,5
200,LAW,1
200,LOCATION,1
200,PERSON,6
201,LOCATION,2
201,PERSON,19
202,LOCATION,2
202,PERSON,7
203,LAW,1
203,LOCATION,7
203,ORGANIZATION,1
203,PERSON,20
204,LOCATION,1
204,ORGANIZATION,2
204,PERSON,16
205,PERSON,6
206,LOCATION,3
206,PERSON,2
207,ORGANIZATION,1
207,PERSON,4
208,DATE,1
208,LAW,2
208,LOCATION,5
208,PERSON,9
209,PERSON,14
210,PERSON,1
211,LOCATION,4
211,PERSON,2
212,ORGANIZATION,1
212,PERSON,33
213,PERSON,5
214,PERSON,3
215,PERSON,3
216,DATE,1
216,LOCATION,2
216,PERSON,6
217,LOCATION,1
217,PERSON,4
218,LOCATION,3
218,ORGANIZATION,1
218,PERSON,26
219,LAW,2
219,LOCATION,3
219,PERSON,16
220,LOCATION,1
220,ORGANIZATION,1
220,PERSON,8
221,LOCATION,1
221,PERSON,6
222,LAW,1
222,LOCATION,2
222,PERSON,2
223,PERSON,11
224,LAW,1
224,LOCATION,2
224,ORGANIZATION,1
224,PERSON,5
225,LAW,1
225,LOCATION,3
225,PERSON,4
226,DATE,2
226,LOCATION,7
226,PERSON,25
226,TIME,1
227,MONEY,1
227,ORGANIZATION,1
227,PERSON,13
228,LOCATION,4
228,PERSON,7
229,LOCATION,3
229,ORGANIZATION,1
229,PERSON,6
230,LOCATION,4
230,PERSON,4
231,ORGANIZATION,1
231,PERSON,4
232,LAW,1
232,ORGANIZATION,1
232,PERSON,7
233,ORGANIZATION,2
233,PERSON,10
234,LOCATION,1
234,ORGANIZATION,2
234,PERSON,13
235,LAW,1
235,LOCATION,1
235,PERSON,24
236,LOCATION,1
236,PERSON,6
237,LAW,1
237,LOCATION,3
237,PERSON,10
238,LOCATION,2
238,ORGANIZATION,1
238,PERSON,1
239,LOCATION,3
239,ORGANIZATION,2
239,PERSON,17
240,LOCATION,2
240,PERSON,18
241,LAW,1
241,ORGANIZATION,1
241,PERSON,1
242,LAW,1
242,LOCATION,2
242,PERSON,7
243,LAW,1
243,PERSON,9
244,LOCATION,1
244,PERSON,1
245,LOCATION,2
245,ORGANIZATION,1
245,PERSON,20
246,LOCATION,2
246,PERSON,4
247,LOCATION,5
247,ORGANIZATION,1
247,PERSON,43
248,LOCATION,2
248,PERSON,6
248,TIME,1
249,LAW,1
249,LOCATION,1
249,MONEY,1
249,PERSON,14
250,LOCATION,8
250,ORGANIZATION,5
250,PERSON,24
251,LAW,1
251,LOCATION,1
251,PERSON,2
252,PERSON,1
253,PERSON,2
254,LOCATION,2
254,ORGANIZATION,1
254,PERSON,22
255,LOCATION,2
255,PERSON,9
256,ORGANIZATION,2
256,PERSON,8
257,PERSON,5
258,LOCATION,1
258,PERSON,5
259,LOCATION,1
259,ORGANIZATION,1
259,PERSON,6
260,PERSON,6
261,LOCATION,1
261,PERSON,9
262,PERSON,4
263,LOCATION,7
263,ORGANIZATION,4
263,PERSON,6
264,LOCATION,5
264,PERSON,10
265,PERSON,5
266,PERSON,7
267,ORGANIZATION,1
267,PERSON,8
268,ORGANIZATION,1
268,PERSON,2
269,LAW,1
269,PERSON,2
270,PERSON,9
271,LAW,1
271,LOCATION,1
271,PERSON,11
272,ORGANIZATION,1
272,PERSON,5
273,LOCATION,2
273,PERSON,1
274,PERSON,2
275,LOCATION,2
275,PERSON,5
276,LOCATION,1
276,PERSON,30
277,LOCATION,3
277,ORGANIZATION,2
277,PERSON,6
278,LOCATION,1
278,ORGANIZATION,1
278,PERSON,6
279,ORGANIZATION,1
279,PERSON,6
280,LOCATION,2
280,ORGANIZATION,1
280,PERSON,6
281,PERSON,5
282,ORGANIZATION,1
282,PERSON,2
283,PERSON,15
284,PERSON,7
285,LOCATION,3
285,ORGANIZATION,2
285,PERSON,14
286,LAW,1
286,PERSON,7
287,LAW,1
287,LOCATION,2
287,ORGANIZATION,1
287,PERSON,14
288,LOCATION,1
288,PERSON,6
289,PERSON,5
290,LOCATION,2
290,ORGANIZATION,1
290,PERSON,13
291,LOCATION,2
291,PERSON,6
292,LAW,1
292,LOCATION,1
292,ORGANIZATION,1
292,PERSON,11
293,LOCATION,3
293,ORGANIZATION,2
293,PERSON,14
294,PERSON,12
295,LOCATION,1
295,PERSON,7
296,LOCATION,1
296,PERSON,6
297,LOCATION,1
297,PERSON,2
298,PERSON,6
299,LOCATION,2
299,PERSON,2
300,ORGANIZATION,3
300,PERSON,2
301,PERSON,3
302,LOCATION,2
302,ORGANIZATION,1
302,PERSON,11
303,LOCATION,1
303,PERSON,11
304,PERSON,4
305,LOCATION,1
305,ORGANIZATION,1
305,PERSON,4
306,LOCATION,2
306,PERSON,10
307,PERSON,5
308,LOCATION,1
308,PERSON,1
309,LOCATION,2
309,MONEY,1
309,ORGANIZATION,1
309,PERSON,6
310,LOCATION,2
310,PERSON,6
311,PERSON,6
312,LOCATION,3
312,ORGANIZATION,1
312,PERSON,2
313,LAW,1
313,LOCATION,2
313,PERSON,6
314,LOCATION,2
314,PERSON,4
