chapter,pos_tag,count,percentage
101,ADP,2,0.62
101,ADV,11,3.38
101,AUX,4,1.23
101,DET,1,0.31
101,NOUN,214,65.85
101,PRON,3,0.92
101,SCONJ,4,1.23
101,VERB,78,24.0
102,ADJ,6,0.71
102,ADP,2,0.24
102,ADV,17,2.0
102,AUX,5,0.59
102,CCONJ,7,0.82
102,DET,9,1.06
102,NOUN,612,72.08
102,NUM,14,1.65
102,PART,1,0.12
102,PRON,3,0.35
102,PROPN,19,2.24
102,SCONJ,7,0.82
102,VERB,147,17.31
103,ADJ,2,0.47
103,ADP,4,0.94
103,ADV,5,1.18
103,AUX,5,1.18
103,DET,8,1.89
103,NOUN,316,74.53
103,PRON,5,1.18
103,SCONJ,4,0.94
103,VERB,75,17.69
104,ADJ,7,1.52
104,ADV,4,0.87
104,AUX,6,1.3
104,CCONJ,2,0.43
104,NOUN,362,78.35
104,NUM,1,0.22
104,PART,2,0.43
104,PRON,7,1.52
104,PROPN,1,0.22
104,VERB,70,15.15
105,ADJ,4,1.49
105,ADP,2,0.75
105,ADV,7,2.61
105,CCONJ,1,0.37
105,DET,2,0.75
105,NOUN,188,70.15
105,PRON,9,3.36
105,PROPN,2,0.75
105,SCONJ,4,1.49
105,VERB,49,18.28
106,ADP,1,0.3
106,ADV,13,3.9
106,AUX,1,0.3
106,DET,1,0.3
106,NOUN,219,65.77
106,NUM,1,0.3
106,PART,2,0.6
106,PRON,29,8.71
106,PROPN,1,0.3
106,SCONJ,8,2.4
106,VERB,57,17.12
107,ADJ,11,2.04
107,ADP,4,0.74
107,ADV,16,2.97
107,AUX,5,0.93
107,NOUN,388,72.12
107,NUM,5,0.93
107,PART,1,0.19
107,PRON,3,0.56
107,SCONJ,3,0.56
107,VERB,102,18.96
108,ADJ,4,1.27
108,ADV,2,0.63
108,AUX,2,0.63
108,CCONJ,1,0.32
108,DET,4,1.27
108,NOUN,227,72.06
108,PRON,7,2.22
108,SCONJ,6,1.9
108,VERB,62,19.68
109,ADJ,8,1.69
109,ADP,5,1.06
109,ADV,11,2.33
109,AUX,4,0.85
109,CCONJ,3,0.64
109,DET,4,0.85
109,NOUN,339,71.82
109,PRON,4,0.85
109,PROPN,9,1.91
109,SCONJ,8,1.69
109,VERB,77,16.31
110,ADJ,15,2.85
110,ADV,9,1.71
110,AUX,6,1.14
110,DET,15,2.85
110,NOUN,337,63.95
110,NUM,4,0.76
110,PRON,17,3.23
110,PROPN,1,0.19
110,SCONJ,3,0.57
110,VERB,120,22.77
111,ADJ,10,1.91
111,ADP,1,0.19
111,ADV,7,1.34
111,AUX,2,0.38
111,CCONJ,1,0.19
111,DET,1,0.19
111,NOUN,387,73.85
111,NUM,12,2.29
111,PRON,9,1.72
111,PROPN,1,0.19
111,SCONJ,2,0.38
111,VERB,91,17.37
112,ADJ,7,2.21
112,ADV,6,1.89
112,CCONJ,1,0.32
112,DET,3,0.95
112,NOUN,241,76.03
112,NUM,1,0.32
112,PRON,5,1.58
112,PROPN,4,1.26
112,VERB,49,15.46
113,ADJ,6,0.85
113,ADP,8,1.13
113,ADV,16,2.25
113,AUX,4,0.56
113,CCONJ,4,0.56
113,DET,1,0.14
113,NOUN,509,71.69
113,NUM,5,0.7
113,PRON,9,1.27
113,PROPN,1,0.14
113,PUNCT,1,0.14
113,SCONJ,4,0.56
113,VERB,142,20.0
114,ADJ,2,0.61
114,ADV,2,0.61
114,AUX,4,1.23
114,NOUN,228,69.94
114,NUM,2,0.61
114,PRON,4,1.23
114,PROPN,6,1.84
114,SCONJ,5,1.53
114,VERB,73,22.39
115,ADJ,1,0.29
115,ADP,2,0.59
115,ADV,13,3.83
115,AUX,2,0.59
115,CCONJ,3,0.88
115,DET,1,0.29
115,NOUN,254,74.93
115,PRON,11,3.24
115,SCONJ,2,0.59
115,VERB,50,14.75
116,ADJ,12,3.34
116,ADP,4,1.11
116,ADV,5,1.39
116,AUX,4,1.11
116,CCONJ,2,0.56
116,DET,3,0.84
116,NOUN,223,62.12
116,NUM,7,1.95
116,PRON,24,6.69
116,SCONJ,18,5.01
116,VERB,57,15.88
117,ADJ,7,1.48
117,ADP,2,0.42
117,ADV,11,2.33
117,AUX,2,0.42
117,NOUN,350,74.0
117,NUM,3,0.63
117,PRON,5,1.06
117,PROPN,5,1.06
117,SCONJ,2,0.42
117,VERB,86,18.18
118,ADJ,2,0.34
118,ADP,5,0.86
118,ADV,6,1.03
118,AUX,5,0.86
118,CCONJ,1,0.17
118,DET,2,0.34
118,NOUN,443,75.86
118,NUM,4,0.68
118,PART,1,0.17
118,PRON,4,0.68
118,PROPN,1,0.17
118,SCONJ,7,1.2
118,VERB,103,17.64
119,ADJ,16,3.12
119,ADP,6,1.17
119,ADV,9,1.75
119,AUX,4,0.78
119,CCONJ,3,0.58
119,DET,2,0.39
119,NOUN,344,67.06
119,NUM,4,0.78
119,PRON,12,2.34
119,PROPN,4,0.78
119,SCONJ,9,1.75
119,VERB,100,19.49
120,ADJ,9,3.37
120,ADP,3,1.12
120,ADV,10,3.75
120,DET,1,0.37
120,NOUN,187,70.04
120,PRON,5,1.87
120,PROPN,3,1.12
120,SCONJ,8,3.0
120,VERB,41,15.36
121,ADJ,12,2.77
121,ADP,4,0.92
121,ADV,9,2.08
121,CCONJ,1,0.23
121,NOUN,301,69.52
121,NUM,2,0.46
121,PRON,14,3.23
121,PROPN,1,0.23
121,SCONJ,2,0.46
121,VERB,87,20.09
122,ADJ,6,1.13
122,ADP,1,0.19
122,ADV,10,1.89
122,AUX,2,0.38
122,DET,18,3.4
122,NOUN,367,69.38
122,NUM,2,0.38
122,PRON,11,2.08
122,PROPN,2,0.38
122,SCONJ,3,0.57
122,VERB,107,20.23
123,ADJ,4,0.83
123,ADP,3,0.62
123,ADV,2,0.42
123,AUX,1,0.21
123,DET,4,0.83
123,NOUN,331,68.96
123,NUM,3,0.62
123,PRON,4,0.83
123,PROPN,7,1.46
123,SCONJ,8,1.67
123,VERB,113,23.54
124,ADJ,10,1.45
124,ADP,7,1.02
124,ADV,27,3.92
124,AUX,2,0.29
124,CCONJ,3,0.44
124,DET,4,0.58
124,NOUN,486,70.64
124,NUM,2,0.29
124,PRON,10,1.45
124,PROPN,6,0.87
124,SCONJ,12,1.74
124,VERB,119,17.3
125,ADJ,8,2.55
125,ADV,12,3.82
125,AUX,1,0.32
125,DET,23,7.32
125,NOUN,157,50.0
125,NUM,9,2.87
125,PART,1,0.32
125,PRON,12,3.82
125,SCONJ,10,3.18
125,VERB,81,25.8
126,ADJ,2,0.58
126,ADP,2,0.58
126,ADV,10,2.92
126,AUX,2,0.58
126,NOUN,258,75.44
126,PRON,7,2.05
126,PROPN,3,0.88
126,SCONJ,4,1.17
126,VERB,54,15.79
127,ADJ,4,1.08
127,ADP,4,1.08
127,ADV,6,1.62
127,AUX,2,0.54
127,CCONJ,5,1.35
127,DET,2,0.54
127,NOUN,281,75.74
127,PRON,9,2.43
127,PROPN,3,0.81
127,VERB,55,14.82
128,ADJ,7,1.59
128,ADP,2,0.46
128,ADV,6,1.37
128,AUX,13,2.96
128,CCONJ,1,0.23
128,DET,6,1.37
128,NOUN,291,66.29
128,NUM,4,0.91
128,PRON,5,1.14
128,PROPN,6,1.37
128,SCONJ,3,0.68
128,VERB,95,21.64
129,ADJ,3,0.57
129,ADP,7,1.34
129,ADV,7,1.34
129,AUX,4,0.77
129,DET,13,2.49
129,NOUN,331,63.41
129,NUM,6,1.15
129,PART,1,0.19
129,PRON,9,1.72
129,PROPN,3,0.57
129,SCONJ,14,2.68
129,VERB,124,23.75
130,ADJ,8,2.82
130,ADP,1,0.35
130,ADV,1,0.35
130,AUX,2,0.7
130,CCONJ,2,0.7
130,DET,1,0.35
130,NOUN,218,76.76
130,PRON,1,0.35
130,PROPN,1,0.35
130,SCONJ,3,1.06
130,VERB,46,16.2
131,ADP,2,0.76
131,ADV,3,1.14
131,NOUN,190,72.24
131,PART,1,0.38
131,PRON,3,1.14
131,PROPN,2,0.76
131,SCONJ,6,2.28
131,VERB,56,21.29
132,ADJ,8,1.86
132,ADV,28,6.51
132,AUX,2,0.47
132,DET,5,1.16
132,NOUN,267,62.09
132,NUM,4,0.93
132,PROPN,2,0.47
132,SCONJ,9,2.09
132,VERB,105,24.42
133,ADJ,7,1.28
133,ADP,15,2.74
133,ADV,13,2.38
133,AUX,9,1.65
133,CCONJ,4,0.73
133,DET,2,0.37
133,NOUN,348,63.62
133,PART,1,0.18
133,PRON,33,6.03
133,PROPN,3,0.55
133,SCONJ,6,1.1
133,VERB,106,19.38
134,ADJ,4,1.03
134,ADP,1,0.26
134,ADV,7,1.8
134,AUX,1,0.26
134,CCONJ,2,0.51
134,DET,1,0.26
134,NOUN,282,72.49
134,NUM,2,0.51
134,PRON,7,1.8
134,PROPN,17,4.37
134,SCONJ,3,0.77
134,VERB,62,15.94
135,ADJ,3,0.7
135,ADP,3,0.7
135,ADV,4,0.93
135,AUX,12,2.78
135,DET,1,0.23
135,NOUN,276,64.04
135,NUM,3,0.7
135,PRON,17,3.94
135,PROPN,5,1.16
135,SCONJ,11,2.55
135,VERB,96,22.27
136,ADJ,12,2.47
136,ADP,4,0.82
136,ADV,12,2.47
136,AUX,6,1.23
136,CCONJ,6,1.23
136,DET,2,0.41
136,NOUN,337,69.34
136,NUM,3,0.62
136,PRON,18,3.7
136,PROPN,3,0.62
136,SCONJ,10,2.06
136,VERB,73,15.02
137,ADJ,4,2.15
137,ADV,4,2.15
137,AUX,4,2.15
137,NOUN,132,70.97
137,PRON,2,1.08
137,PROPN,3,1.61
137,SCONJ,4,2.15
137,VERB,33,17.74
138,ADJ,16,2.53
138,ADP,1,0.16
138,ADV,17,2.69
138,AUX,3,0.47
138,CCONJ,3,0.47
138,DET,3,0.47
138,NOUN,392,61.93
138,NUM,8,1.26
138,PART,1,0.16
138,PRON,13,2.05
138,PROPN,5,0.79
138,SCONJ,7,1.11
138,VERB,164,25.91
139,ADJ,9,2.34
139,ADP,5,1.3
139,ADV,7,1.82
139,AUX,1,0.26
139,CCONJ,2,0.52
139,DET,13,3.39
139,NOUN,255,66.41
139,PRON,9,2.34
139,PROPN,2,0.52
139,SCONJ,7,1.82
139,VERB,74,19.27
140,ADJ,10,1.47
140,ADP,10,1.47
140,ADV,15,2.21
140,AUX,3,0.44
140,DET,5,0.74
140,NOUN,475,69.85
140,NUM,2,0.29
140,PRON,4,0.59
140,PROPN,2,0.29
140,SCONJ,16,2.35
140,VERB,138,20.29
141,ADJ,26,2.54
141,ADP,20,1.96
141,ADV,22,2.15
141,AUX,21,2.05
141,CCONJ,1,0.1
141,DET,11,1.08
141,NOUN,689,67.35
141,NUM,8,0.78
141,PART,1,0.1
141,PRON,11,1.08
141,PROPN,1,0.1
141,SCONJ,27,2.64
141,VERB,185,18.08
142,ADJ,5,1.37
142,ADV,14,3.84
142,AUX,2,0.55
142,CCONJ,5,1.37
142,DET,2,0.55
142,NOUN,253,69.32
142,SCONJ,3,0.82
142,VERB,81,22.19
143,ADJ,2,1.02
143,ADP,2,1.02
143,ADV,1,0.51
143,CCONJ,2,1.02
143,DET,2,1.02
143,NOUN,152,77.16
143,SCONJ,1,0.51
143,VERB,35,17.77
144,ADJ,5,1.63
144,ADP,4,1.31
144,ADV,14,4.58
144,DET,5,1.63
144,NOUN,202,66.01
144,PRON,7,2.29
144,PROPN,2,0.65
144,SCONJ,5,1.63
144,VERB,62,20.26
145,ADJ,3,0.78
145,ADP,2,0.52
145,ADV,12,3.12
145,AUX,1,0.26
145,CCONJ,2,0.52
145,DET,3,0.78
145,NOUN,271,70.39
145,PRON,6,1.56
145,PROPN,2,0.52
145,SCONJ,3,0.78
145,VERB,80,20.78
146,ADJ,9,2.21
146,ADP,7,1.72
146,ADV,4,0.98
146,AUX,9,2.21
146,DET,3,0.74
146,NOUN,281,68.87
146,NUM,6,1.47
146,PRON,4,0.98
146,PROPN,7,1.72
146,SCONJ,9,2.21
146,VERB,69,16.91
147,ADP,1,1.06
147,ADV,1,1.06
147,DET,4,4.26
147,NOUN,60,63.83
147,PRON,3,3.19
147,VERB,25,26.6
148,ADJ,10,1.2
148,ADP,12,1.44
148,ADV,14,1.67
148,AUX,7,0.84
148,DET,19,2.27
148,NOUN,579,69.26
148,NUM,12,1.44
148,PRON,20,2.39
148,PROPN,4,0.48
148,SCONJ,9,1.08
148,VERB,150,17.94
149,ADJ,7,1.84
149,ADP,5,1.32
149,ADV,6,1.58
149,AUX,7,1.84
149,DET,4,1.05
149,NOUN,261,68.68
149,PRON,10,2.63
149,PROPN,5,1.32
149,SCONJ,3,0.79
149,VERB,72,18.95
150,ADJ,3,0.96
150,ADP,2,0.64
150,CCONJ,1,0.32
150,DET,8,2.55
150,NOUN,226,71.97
150,NUM,1,0.32
150,PART,2,0.64
150,PRON,5,1.59
150,PROPN,4,1.27
150,SCONJ,4,1.27
150,VERB,58,18.47
151,ADJ,16,2.69
151,ADP,2,0.34
151,ADV,13,2.18
151,AUX,6,1.01
151,CCONJ,2,0.34
151,NOUN,356,59.83
151,NUM,3,0.5
151,PART,2,0.34
151,PRON,10,1.68
151,PROPN,2,0.34
151,SCONJ,2,0.34
151,VERB,181,30.42
152,ADJ,2,1.21
152,ADV,10,6.06
152,AUX,1,0.61
152,DET,4,2.42
152,NOUN,106,64.24
152,NUM,2,1.21
152,PART,1,0.61
152,PRON,3,1.82
152,SCONJ,2,1.21
152,VERB,34,20.61
153,ADJ,1,0.56
153,ADP,2,1.13
153,ADV,6,3.39
153,AUX,3,1.69
153,DET,2,1.13
153,NOUN,110,62.15
153,NUM,2,1.13
153,PRON,6,3.39
153,PROPN,2,1.13
153,SCONJ,2,1.13
153,VERB,41,23.16
154,ADJ,1,1.0
154,ADP,1,1.0
154,ADV,1,1.0
154,AUX,1,1.0
154,NOUN,62,62.0
154,NUM,3,3.0
154,PRON,5,5.0
154,PROPN,1,1.0
154,VERB,25,25.0
155,ADJ,2,1.19
155,ADV,4,2.38
155,AUX,6,3.57
155,NOUN,91,54.17
155,NUM,1,0.6
155,PRON,7,4.17
155,SCONJ,4,2.38
155,VERB,53,31.55
156,ADJ,7,1.29
156,ADP,4,0.74
156,ADV,4,0.74
156,AUX,4,0.74
156,NOUN,371,68.2
156,NUM,2,0.37
156,PART,1,0.18
156,PRON,20,3.68
156,PROPN,10,1.84
156,SCONJ,5,0.92
156,VERB,116,21.32
157,ADJ,4,1.25
157,ADV,10,3.12
157,AUX,2,0.62
157,NOUN,228,71.25
157,PRON,7,2.19
157,SCONJ,7,2.19
157,VERB,62,19.38
158,ADJ,10,2.92
158,ADP,1,0.29
158,ADV,11,3.21
158,AUX,3,0.87
158,CCONJ,1,0.29
158,DET,6,1.75
158,NOUN,196,57.14
158,NUM,1,0.29
158,PRON,9,2.62
158,PROPN,5,1.46
158,SCONJ,5,1.46
158,VERB,95,27.7
159,ADJ,9,1.71
159,ADP,10,1.9
159,ADV,21,4.0
159,AUX,14,2.67
159,CCONJ,4,0.76
159,DET,9,1.71
159,NOUN,289,55.05
159,NUM,1,0.19
159,PART,1,0.19
159,PRON,24,4.57
159,PROPN,2,0.38
159,SCONJ,30,5.71
159,VERB,111,21.14
160,ADJ,11,1.44
160,ADP,6,0.78
160,ADV,21,2.75
160,AUX,7,0.92
160,DET,1,0.13
160,NOUN,531,69.41
160,NUM,1,0.13
160,PRON,13,1.7
160,PROPN,4,0.52
160,SCONJ,16,2.09
160,VERB,154,20.13
161,ADJ,7,1.38
161,ADP,4,0.79
161,ADV,18,3.54
161,AUX,2,0.39
161,CCONJ,3,0.59
161,DET,8,1.57
161,NOUN,328,64.57
161,NUM,1,0.2
161,PART,1,0.2
161,PRON,15,2.95
161,PROPN,2,0.39
161,SCONJ,2,0.39
161,VERB,117,23.03
162,ADJ,5,1.33
162,ADP,2,0.53
162,ADV,5,1.33
162,AUX,3,0.8
162,DET,4,1.06
162,NOUN,295,78.25
162,NUM,4,1.06
162,PRON,11,2.92
162,PROPN,6,1.59
162,SCONJ,1,0.27
162,VERB,41,10.88
163,ADJ,1,0.41
163,ADP,3,1.23
163,ADV,2,0.82
163,AUX,3,1.23
163,NOUN,178,72.95
163,PRON,5,2.05
163,SCONJ,2,0.82
163,VERB,50,20.49
164,ADJ,8,1.72
164,ADP,3,0.65
164,ADV,11,2.37
164,AUX,1,0.22
164,CCONJ,2,0.43
164,DET,10,2.16
164,NOUN,290,62.5
164,NUM,27,5.82
164,PRON,9,1.94
164,PROPN,19,4.09
164,SCONJ,5,1.08
164,VERB,79,17.03
165,ADJ,7,2.36
165,ADP,3,1.01
165,ADV,3,1.01
165,DET,1,0.34
165,NOUN,217,73.06
165,PART,4,1.35
165,PRON,4,1.35
165,PROPN,1,0.34
165,SCONJ,2,0.67
165,VERB,55,18.52
166,ADJ,1,0.21
166,ADP,1,0.21
166,ADV,17,3.55
166,AUX,3,0.63
166,CCONJ,5,1.04
166,DET,3,0.63
166,NOUN,338,70.56
166,NUM,10,2.09
166,PART,1,0.21
166,PRON,4,0.84
166,PROPN,3,0.63
166,SCONJ,10,2.09
166,VERB,83,17.33
167,ADJ,5,1.26
167,ADP,5,1.26
167,ADV,6,1.51
167,AUX,7,1.76
167,CCONJ,5,1.26
167,DET,3,0.75
167,NOUN,242,60.8
167,NUM,10,2.51
167,PRON,10,2.51
167,PROPN,13,3.27
167,SCONJ,7,1.76
167,VERB,85,21.36
168,ADJ,7,1.93
168,ADP,1,0.28
168,ADV,9,2.49
168,AUX,4,1.1
168,DET,10,2.76
168,NOUN,234,64.64
168,NUM,3,0.83
168,PRON,2,0.55
168,PROPN,9,2.49
168,SCONJ,3,0.83
168,VERB,80,22.1
169,ADJ,14,4.14
169,ADP,3,0.89
169,ADV,11,3.25
169,CCONJ,2,0.59
169,DET,2,0.59
169,NOUN,223,65.98
169,NUM,3,0.89
169,PART,1,0.3
169,PRON,6,1.78
169,SCONJ,9,2.66
169,VERB,64,18.93
170,ADJ,3,0.84
170,ADP,4,1.11
170,ADV,7,1.95
170,AUX,2,0.56
170,DET,1,0.28
170,NOUN,229,63.79
170,NUM,2,0.56
170,PRON,20,5.57
170,PROPN,6,1.67
170,SCONJ,2,0.56
170,VERB,83,23.12
171,ADJ,2,1.08
171,ADV,5,2.69
171,NOUN,130,69.89
171,NUM,2,1.08
171,PRON,9,4.84
171,PROPN,1,0.54
171,VERB,37,19.89
172,ADJ,1,0.44
172,ADP,1,0.44
172,AUX,3,1.33
172,DET,9,3.98
172,NOUN,166,73.45
172,NUM,8,3.54
172,PRON,4,1.77
172,PROPN,2,0.88
172,SCONJ,1,0.44
172,VERB,31,13.72
173,ADJ,9,1.8
173,ADP,9,1.8
173,ADV,9,1.8
173,AUX,13,2.59
173,CCONJ,1,0.2
173,DET,3,0.6
173,NOUN,314,62.67
173,PRON,21,4.19
173,PROPN,7,1.4
173,SCONJ,8,1.6
173,VERB,107,21.36
174,ADJ,12,2.24
174,ADP,13,2.43
174,ADV,16,2.99
174,AUX,4,0.75
174,CCONJ,1,0.19
174,DET,4,0.75
174,NOUN,328,61.19
174,PRON,12,2.24
174,PROPN,8,1.49
174,SCONJ,16,2.99
174,VERB,122,22.76
175,ADJ,1,0.92
175,ADP,3,2.75
175,NOUN,75,68.81
175,PRON,8,7.34
175,PROPN,1,0.92
175,SCONJ,3,2.75
175,VERB,18,16.51
176,ADJ,2,2.15
176,ADP,2,2.15
176,ADV,1,1.08
176,DET,3,3.23
176,NOUN,75,80.65
176,VERB,10,10.75
177,ADJ,11,3.01
177,ADP,5,1.37
177,ADV,6,1.64
177,AUX,4,1.09
177,CCONJ,1,0.27
177,DET,11,3.01
177,NOUN,208,56.83
177,NUM,12,3.28
177,PRON,7,1.91
177,PROPN,4,1.09
177,SCONJ,5,1.37
177,VERB,92,25.14
178,ADJ,5,1.18
178,ADP,3,0.71
178,ADV,6,1.42
178,AUX,1,0.24
178,CCONJ,1,0.24
178,DET,3,0.71
178,NOUN,310,73.46
178,PART,1,0.24
178,PRON,8,1.9
178,PROPN,2,0.47
178,SCONJ,2,0.47
178,VERB,80,18.96
179,ADJ,6,0.8
179,ADP,2,0.27
179,ADV,25,3.33
179,AUX,4,0.53
179,CCONJ,1,0.13
179,DET,2,0.27
179,NOUN,477,63.6
179,NUM,4,0.53
179,PART,2,0.27
179,PRON,15,2.0
179,SCONJ,19,2.53
179,VERB,193,25.73
180,ADJ,7,1.85
180,ADP,7,1.85
180,ADV,9,2.38
180,AUX,7,1.85
180,DET,1,0.26
180,NOUN,247,65.34
180,PRON,6,1.59
180,PROPN,2,0.53
180,SCONJ,7,1.85
180,VERB,85,22.49
181,ADJ,1,0.48
181,ADP,2,0.95
181,ADV,3,1.43
181,AUX,1,0.48
181,DET,2,0.95
181,NOUN,133,63.33
181,PRON,7,3.33
181,PROPN,2,0.95
181,SCONJ,5,2.38
181,VERB,54,25.71
182,ADJ,1,0.59
182,ADP,5,2.96
182,ADV,4,2.37
182,DET,3,1.78
182,NOUN,106,62.72
182,NUM,1,0.59
182,PRON,2,1.18
182,PROPN,3,1.78
182,SCONJ,1,0.59
182,VERB,43,25.44
183,ADJ,8,2.17
183,ADP,5,1.36
183,ADV,5,1.36
183,AUX,2,0.54
183,DET,6,1.63
183,NOUN,265,72.01
183,PRON,12,3.26
183,PROPN,3,0.82
183,SCONJ,2,0.54
183,VERB,60,16.3
184,ADJ,3,1.3
184,ADP,5,2.16
184,ADV,11,4.76
184,AUX,1,0.43
184,CCONJ,1,0.43
184,NOUN,142,61.47
184,PRON,16,6.93
184,PROPN,1,0.43
184,SCONJ,4,1.73
184,VERB,47,20.35
185,ADJ,4,1.41
185,ADP,2,0.7
185,ADV,8,2.82
185,AUX,7,2.46
185,CCONJ,1,0.35
185,DET,5,1.76
185,NOUN,188,66.2
185,PART,1,0.35
185,PRON,14,4.93
185,PROPN,1,0.35
185,SCONJ,7,2.46
185,VERB,46,16.2
186,ADJ,15,1.46
186,ADP,19,1.85
186,ADV,21,2.04
186,AUX,14,1.36
186,DET,25,2.43
186,NOUN,666,64.85
186,NUM,15,1.46
186,PART,1,0.1
186,PRON,11,1.07
186,PROPN,13,1.27
186,SCONJ,38,3.7
186,VERB,189,18.4
187,ADJ,6,0.83
187,ADP,10,1.38
187,ADV,18,2.48
187,AUX,9,1.24
187,DET,6,0.83
187,NOUN,470,64.65
187,NUM,8,1.1
187,PRON,22,3.03
187,PROPN,4,0.55
187,SCONJ,16,2.2
187,VERB,158,21.73
188,ADJ,3,2.42
188,ADV,3,2.42
188,AUX,1,0.81
188,DET,1,0.81
188,NOUN,78,62.9
188,NUM,1,0.81
188,PRON,8,6.45
188,PROPN,2,1.61
188,SCONJ,2,1.61
188,VERB,25,20.16
189,ADJ,5,1.87
189,ADP,4,1.49
189,ADV,5,1.87
189,AUX,7,2.61
189,DET,1,0.37
189,NOUN,170,63.43
189,NUM,7,2.61
189,PART,2,0.75
189,PRON,12,4.48
189,PROPN,1,0.37
189,SCONJ,4,1.49
189,VERB,50,18.66
190,ADJ,5,2.55
190,ADV,5,2.55
190,CCONJ,1,0.51
190,NOUN,129,65.82
190,VERB,56,28.57
191,ADJ,16,3.89
191,ADV,10,2.43
191,AUX,5,1.22
191,CCONJ,1,0.24
191,DET,1,0.24
191,NOUN,271,65.94
191,PRON,18,4.38
191,PROPN,3,0.73
191,SCONJ,4,0.97
191,VERB,82,19.95
192,ADJ,5,1.26
192,ADP,14,3.52
192,ADV,5,1.26
192,AUX,6,1.51
192,CCONJ,1,0.25
192,DET,1,0.25
192,NOUN,271,68.09
192,NUM,1,0.25
192,PRON,5,1.26
192,PROPN,3,0.75
192,PUNCT,1,0.25
192,SCONJ,9,2.26
192,VERB,76,19.1
193,ADJ,2,0.98
193,ADV,5,2.44
193,AUX,4,1.95
193,DET,1,0.49
193,NOUN,142,69.27
193,NUM,1,0.49
193,PRON,1,0.49
193,PROPN,6,2.93
193,VERB,43,20.98
194,ADJ,3,2.21
194,ADP,3,2.21
194,ADV,1,0.74
194,AUX,5,3.68
194,DET,1,0.74
194,NOUN,88,64.71
194,PRON,5,3.68
194,SCONJ,2,1.47
194,VERB,28,20.59
195,ADJ,5,2.01
